user,text,retweeted_status
discountsdeck,"Avail 31% Off On Vu Premium 50 inch Ultra HD (4K) LED Smart Android TV  (50PM)

MRP: Rs 45,000

Deal Price: Rs 30,9… https://t.co/MqrnA4pbtN",False
naveen3484,"@Flipkart @flipkartsupport @_Kalyan_K
@rajneeeshkumar
 #Flipkart 
@FlipkartStories
@2GUD
@flipkart_tech… https://t.co/CvIsMl4Sbh",False
ubsforums,"We are elated to welcome our eminent speaker @VikasSSongara for our Exclusive ""9th Edition Future of L&amp;D Summit &amp; A… https://t.co/Smkt0jwL5D",False
Bidhuri3333,"@flipkartsupport 
Seller-OmniTechRetail
Outdoor Indoor Unit Mismatch given by
seller.
#Flipkart",False
Aarish10702925,#Flipkart again wrong item delivered. Really you are working right??,False
SHARATH_JOURNO,"Pathetic service of @Flipkart 

Couldn't able to deliver groceries from last 5 days... Spoke with @flipkartsupport… https://t.co/OjgI4l5St7",False
abhaymsahni,#Flipkart Pls kindly resolve my issue with pay later option which is deactivated and all my previous coins goy lost… https://t.co/62FknfEKyT,False
BiswalDebadutta,any update #Flipkart,False
Arjunstar,@gonoise Never ever buy products from official #noise website.. they never respect orders on their original website… https://t.co/uHpEv7ndQS,False
Arjunstar,@gonoise Never ever buy products from official #noise website.. they never respect orders on their original website… https://t.co/cHVDeoeA8V,False
alt_coiners,"249.
TENCENT BUYS STAKE IN FLIPKART FROM BINNY BANSAL

Tencent, a Chinese technology company, has acquired a share… https://t.co/oRyi3p29Wz",False
Arjunstar,@gonoise Never ever buy products from official #noise website.. they never respect orders on their original website… https://t.co/sBgAwDiay7,False
Arjunstar,@gonoise Never ever buy products from official #noise website.. they never respect orders on their original website… https://t.co/ccVEzyCIxs,False
Arjunstar,@gonoise Never ever buy products from official #noise website.. they never respect orders on their original website… https://t.co/2ORj0MOIvj,False
Arjunstar,@gonoise Never ever buy products from official #noise website.. they never respect orders on their original website… https://t.co/8Z0Pb2QwLc,False
Arjunstar,@gonoise Never ever buy products from official #noise website.. they never respect orders on their original website… https://t.co/cfFrKNST9D,False
Arjunstar,@gonoise Never ever buy products from official #noise website.. they never respect orders on their original website… https://t.co/PvMGCikAeR,False
The_Abhinav_1,@flipkartsupport #FlipkartIsScam #fraud #consumerprotection #Flipkart         My order Id - OD225237993301355000.I… https://t.co/WkHDTi9nDJ,False
sengar_shweta,RT @DrGauravGarg4: Best 1000 Current Affairs book which covers 1250+ current affairs from January 2021 to March 2022 is now available in HI…,False
rakeshseth73,"#Flipkart Poor service. Pathetic return service. My package was picked up on 26-JUN before the deadline i.e., 27-JU… https://t.co/fYUTMM82UF",False
sureshr00727652,@flipkartsupport Why Flipkart is taking morethan 12 days to refund the super coins. You can check order number whic… https://t.co/eB9JWQFiRt,False
Veer45910306,@AmazonHelp No one care because #Amazon is too big. A customer cannot make any difference right ? #Flipkart… https://t.co/0XsNP1lzSO,False
DrGauravGarg4,Best 1000 Current Affairs book which covers 1250+ current affairs from January 2021 to March 2022 is now available… https://t.co/zWdAdppL9c,False
FoodmfgUK,RT @ExGllam: #gllamex #gllamexeverydaysnacks #gllamexnamkin #gllamexnamkeen #gllamexsnacks #gllamexgroup #gllam-ex #glamex #gllameximages #…,False
AdiAgrawal100,"@Flipkart @flipkartsupport 
How many days i will have to suffer?
I want return and refund
Order ID - OD225226316603… https://t.co/qerEkPVBrw",False
ExGllam,#gllamex #gllamexeverydaysnacks #gllamexnamkin #gllamexnamkeen #gllamexsnacks #gllamexgroup #gllam-ex #glamex… https://t.co/AqF6NcgLgz,False
ankitv39,"First @Flipkart @flipkartsupport you gave 5 Jul as resolution date. Today, you marked the issue as resolved without… https://t.co/5yraI0cx4m",False
kushagrasingh19,(1/2) Flipkart your customer supportis pathetic.Odr I’d OD124972501006281000 still unresolved after more thn a mnth… https://t.co/9zCm5fsizw,False
Mukeshkdv,"#froadkart
#foolingkart 
#flipkartsupport
#Flipkart #FlipkartForIndia
@Flipkart @flipkartsupport
Order canceled wit… https://t.co/lwy9QbDKqV",False
TJIndia_,"@rachana7696 @amazonIN @amazon @amazonIN Do you ever bother about customer complaints?
What is internal inquiry whe… https://t.co/7tEK7SPgtt",False
naveen3484,"@Flipkart @flipkartsupport @_Kalyan_K
@rajneeeshkumar
@BandBajaateRaho
@ConsumrConxion
@jagograhakjago
@consaff… https://t.co/EMKCXtSP8s",False
AedinInsight,FREE AMAZON PRIME https://t.co/CDfFy9GXaz #amazon #amazonprime #amazondeals #kindle #amazonfinds #love #usa… https://t.co/75duzkENvy,False
Onekartdotbiz,"Online Shopping Site India | 30% - 50% off 
#onlineshopping #online #onlinebusiness #girls #girlsfashion #online… https://t.co/gQs1UKZlsk",False
oreafarm,"We are here to make your authentic cooking easier &amp; tastier!

#oreafarm #italianseasoning #herbsandseasoning… https://t.co/5YZ4yfVOGH",False
offersinday,"https://t.co/zG2FMMwiy7 99

 #Flipkart",False
offersinday,"399 https://t.co/2omRDq0LpI

 #Flipkart",False
offersinday,"https://t.co/7bgbUdws05 279

 #Flipkart",False
offersinday,"BookMyShow Voucher Worth 200 Using 200 Supercoins

 https://t.co/P8nRCRZech

 #Flipkart",False
offersinday,"Jaguar Classic Deodorant Spray, 150ml @ 261

https://t.co/X88tQWpJpH

PC : Myntra &amp; Other sites @ 374

 #Flipkart",False
devanggarach,"Hey Flipkart, still my query is not resolved, no one came to pickup my return order, even no one contacted me from… https://t.co/BMQGzLh7eV",False
RohitSi38074173,@flipkartsupport never knew tht just for AC service I have to struggle a lot..i paid for extended warranty but now… https://t.co/Lf0CDrQxqe,False
Arunbathula112,"@flipkartsupport @Flipkart @_Kalyan_K @amazonIN @AmazonHelp 

See how shamelessly #flipkart is rejecting their cust… https://t.co/iaTZYjnIgL",False
Atre_Verdict,"When brands like @Flipkart having an army of engineers, products &amp; QAs  forget to update urls with correct redirect… https://t.co/Dti6it20PD",False
GrabonDeals,"RT @nishankreddy: Upto 46% off on Nivea Beauty products.

https://t.co/ri1ay1R6c9 https://t.co/bHFecgz2SR
click above to find best deals an…",False
GrabonDeals,"RT @nishankreddy: Fire Bolt smartwatch upto 65% Off From Rs.1899

https://t.co/Dv9OmX4dff https://t.co/F3sZMM5RGS
click above to find best…",False
gargijain1,"@myntra NEVER PURCHASE from @myntra It's more than 10 days still no money is paid. ""No ETHICS No MORALS"" Myntra has… https://t.co/RTtJHrLaxa",False
princy1993j,"RT @RoopaSah: #Flipkart #apple airpods pro. Filed complaint @received date, these guys sent one technician after almost 15-20 days, then he…",False
nishankreddy,"Fire Bolt smartwatch upto 65% Off From Rs.1899

https://t.co/Dv9OmX4dff https://t.co/F3sZMM5RGS
click above to find… https://t.co/SKaTjVqw0U",False
nishankreddy,"Upto 46% off on Nivea Beauty products.

https://t.co/ri1ay1R6c9 https://t.co/bHFecgz2SR
click above to find best de… https://t.co/RRi02QU0fm",False
_ashutro,"Why @Flipkart @flipkartsupport I'm plus user that's why you charge me more 🤔🤔🫡🫡

#Flipkart
#onlineshopping… https://t.co/RzDU7K6NtD",False
nishankreddy,"Fire-Boltt Ninja 3 Full Touch 1.69” Display &amp; 60 Sports Modes Smartwatch @1999

https://t.co/vTz9xjzNOj… https://t.co/63cTz4a4uU",False
nishankreddy,"50% Off : Dabur Tulsi (80 tablets) @75 

https://t.co/58pDLkG0Uh https://t.co/Kx64aFqFW1
click above to find best d… https://t.co/CBgYfyKez7",False
nishankreddy,"Graab Rs 112

Amazon Brand - Solimo Green Tea Face Wash, 150ml

https://t.co/xGA26pOySm https://t.co/uOFJxHVfWq
cli… https://t.co/b5eyRtKC6Y",False
AsianaTimes,"There's a leak of the Nothing Phone 1 case with a tipping design, and a pre-order pass is available for Rs. 2,000.… https://t.co/m5Md0M2m3Q",False
nishankreddy,"Fire Bolt smartwatch upto 65% Off From Rs.1899

https://t.co/Dv9OmX4dff https://t.co/F3sZMM5RGS
click above to find… https://t.co/PWfNXRtbzY",False
nishankreddy,"Upto 46% off on Nivea Beauty products.

https://t.co/ri1ay1R6c9 https://t.co/bHFecgz2SR
click above to find best de… https://t.co/jHCfNYOfHR",False
umakantadash1,@chinchi69712011 @Flipkart @SBICard_Connect Yes Absolutely Correct..@Flipkart. #Flipkart #FlipkartChorHai,False
nishankreddy,"Shoes at 179rs

https://t.co/JFbsSdKzX2 https://t.co/s0pNtb82qW
click above to find best deals and offers 
#deals… https://t.co/EmKWly58Os",False
gujarat_ojas,@0xFireDrops FLIPKART #Flipkart,False
psychomaahi,"Nothing pre order has beeen ................
#nothingphone #carlpi #Flipkart #nothingphone https://t.co/XiIU7LrPD1",False
Prateek01347229,"Lava Blaze
Coming soon
Launching on 7July
Flipkart Unique

#lava #LavaMobiles #Flipkart 

@Flipkart @LavaMobile https://t.co/bJTMTEz99f",False
donepudisrinu,@flipkartsupport Hello #Flipkart the product is lying in the same warehouse from more than week. Delivery within ci… https://t.co/IpTw7GlYgl,False
SarG04775575,"@Flipkart #flipkart .. my order ID is OD225240698084017000 the item has ordered on 18th june, with delivery date of… https://t.co/gijJeT9kuQ",False
naveen3484,"@Flipkart @flipkartsupport @_Kalyan_K 
@rajneeeshkumar 
@BandBajaateRaho 
@ConsumrConxion 
@jagograhakjago… https://t.co/QpnWKyALih",False
DattaJagnya,"#Flipkart
OD121816408128001000 [Incident: IN22062315293856361618]

I have raised one service request @jeeves CLEWF2… https://t.co/M6LwDbvlU0",False
CwenCollection,"https://t.co/8xrrnEXwHS
#cwencollection #india #mumbai #modestfashion #hijab #indianhijabi #fashioninspiration… https://t.co/bOafeAuAtA",False
Harish_ghagare,"Dear flipkart 
Order ID - OD225349531919284000
Delivery date 4july2022
Still order not deliver and its not reached… https://t.co/gKoREjx4TK",False
yogeshkumarbii,"RT @ImpexGiant: Ask For GIANT IMPEX Set of 5 Packing Cubes Travel Organizer  #TravelPouch | #WardrobeOrganizer 
5 IN 1 PACKING CUBES are ma…",False
yogeshkumarbii,"RT @ImpexGiant: Ask for GIANT IMPEX Portable EVA Electronic Travel Gadgets #AccessoriesOrganizer, #OrganizerBag for #HardDrives , #Cables,…",False
ITManag34576419,"RT @ImpexGiant: Ask for #Baby Cradle #BeddingSet For (0-12 Months, Baby) #Infants/ #Kids/ #Toddlers/ 

#GIANTIMPEX Soft Comfort Baby Bassin…",False
yogeshkumarbii,"RT @ImpexGiant: Ask for #Dog #Cat Double #DinerBox
#GIANTIMPEX Stainless Steel Dog Cat Double Diner Box Set with Anti Slip Mat, Capacity-GI…",False
yogeshkumarbii,"RT @ImpexGiant: Ask for #Baby Cradle #BeddingSet For (0-12 Months, Baby) #Infants/ #Kids/ #Toddlers/ 

#GIANTIMPEX Soft Comfort Baby Bassin…",False
iztaba,"@Flipkart @flipkartsupport 
#Flipkart #DigitalIndia https://t.co/rnQ9eNruFB",False
caseresearch,"ONDC: Disrupting India’s E-commerce Space through an Open Network Model?
#ONDC  #Digitalcommerce #ecommerce… https://t.co/TpAbs6sBHx",False
meraushan_raj,@flipkartsupport Ignoring the comment and not replying is not the solution or do i need to do something else to get… https://t.co/wFHnx5OlEO,False
AedinInsight,FREE AMAZON PRIME https://t.co/CDfFy9plLZ #amazon #amazonprime #amazondeals #kindle #amazonfinds #love #usa… https://t.co/6jkWHKg24k,False
smsuweaid,@vlaunchu @KPMG @PwC @PwC_IN @EYnews @Deloitte @DeloitteOnTech @amazonIN @amazon @Flipkart @flipkart_tech #Amazon… https://t.co/B240g8tWq8,False
Satishpeddired3,#flipkart  https://t.co/js48plRplP,False
india_brass,@FlipkartSellers @Flipkart @flipkartsupport  Pls stop spamming me with Plastic packaging mail. I already replied to… https://t.co/46oX4NBwO1,False
dils_ad,"@RohtasPolice we need your attention. These bills are stuck all around the #Dehri.

#Flipkart also ensures into the… https://t.co/4XDN4Tar8k",False
MohithR14029417,"Flipkart Scam or Bug???
In Flipkart for SAMSUNG Galaxy A33 mobile price
6GB variant - ₹32,990
8GB variant - ₹26,999… https://t.co/mAG1zfzQei",False
kumar66156611,RT @IamRaviP1: @Flipkart order OD223000240516911000 Shows delivered but it's actually not delivered. Followed up but no resolution(IN211006…,False
yogeshkumarbii,"RT @ImpexGiant: Ask for GIANT IMPEX ""#MobilePhone #BeltPouch""
Water Resistant #Outdoor #Sport #Travel Pouch Belt #WaistPhoneBag Fanny Case…",False
naveen3484,"@Flipkart @flipkartsupport @_Kalyan_K 
@rajneeeshkumar 
@BandBajaateRaho 
@ConsumrConxion 
@jagograhakjago… https://t.co/4QdHA1Twzw",False
TechnicalGyaa16,Was always an #Amazon user but … recently I used #Flipkart …. I must say that buying #Electronics is a next level e… https://t.co/oqnoveDZM3,False
kalarori528,#flipkart #Motorola इन दोनों कंपनियों ने मिलकर मेरे साथ बहुत बड़ा धोखा किया fraud किया है। इन्होंने मुझे 15000 रुपए… https://t.co/Ti3YRue9vm,False
RanaStorage,"✅ Pallet Flow Rack for warehouse and Industrial use with affordable prices.
📧  : pramod.rana@ranamhe.com, info@rana… https://t.co/SrBhHtffHR",False
kalarori528,#flipkart #Motorola इन दोनों कंपनियों ने मिलकर मेरे साथ बहुत बड़ा धोखा किया fraud किया है। इन्होंने मुझे 15000 रुपए… https://t.co/ESI22n036g,False
SeedSpices,"What you call, 
The spice gave birth to the term ""SALARY""???
Comment your answers below 
#Spices #spiceofindia… https://t.co/sAxIwMkXdZ",False
kbaalaiyah,#Flipkart #Fraudkart,False
kbaalaiyah,"@Flipkart @flipkartsupport Still no response from your side , #flipkart #fraudkart",False
merahulmahato,@AmazonHelp support is better than @flipkartsupport go for Amazon atleast they didn't block your account when you r… https://t.co/T4SeVEqpyx,False
tkumar_Thinking,"@flipkartsupport Hi #Flipkart team, still waiting for a refund as it’s been 2 months, evendo i get a response from… https://t.co/hshlaAMjsV",False
om08233237,"Don't buy Redchief footwear from Flipkart , worst quality ever I seen.
#Red_Chieftian #Flipkart #Footwear… https://t.co/kfDU172kyz",False
brewingglife,@venkateshyalava @CKsays_ @AjayKum43545844 @krsunil1994 @DillipK78341392 @programmersingh @Khushwant2808 @KiranSwar… https://t.co/UNNNmXl1sO,False
picsography1,@Flipkart @Flipkart @flipkartsupport @ndtv @jagograhakjago @MLJ_GoI @timesofindia @GyanTherapy i applied for same d… https://t.co/f8ooqzJBo1,False
aryanag2610,"#TECNOCamon19Neo Coming Soon... In India🇮🇳 .
Product Page Live🔴 on #Flipkart .

~ 6.8"" FHD+ Punch Hole Display
~ 48… https://t.co/SNoRoa60o4",False
PrabhuGuptara,"Containing a few of my poems, ""The Best Asian Poetry 2021-2022"" is now available globally via #BarnesAndNoble,… https://t.co/wVDMEDQxkD",False
aryanag2610,"#LavaBlaze Launching Soon... In India🇮🇳 .

Product Page Live🔴 on #Flipkart . https://t.co/4D4BPqYkma",False
AedinInsight,FREE AMAZON PRIME https://t.co/CDfFy9plLZ #amazon #amazonprime #amazondeals #kindle #amazonfinds #love #usa… https://t.co/Kyb0jmzBjX,False
Deepakk800,Dear @Flipkart I want to sell my old phone but on our pincode 125121 we didn't have pickup  facility please check i… https://t.co/27nz0lTlGp,False
pushpendratri,"RT @pushpendratri: #Flipkart disappointed on every phase of delivery and return process. 
unable to meet any of the expected date on delive…",False
bilkulsingle,@surakshtiwari @_Kalyan_K @Flipkart @flipkartsupport No resolution yet! what a pathetic way of harassment. Everyday… https://t.co/Ah3YHnFuxJ,False
atulvashistha77,"Shame on you Flipkart for such type of cheating,
Have waited for my order around 20 days 😡😡but you didn’t deliver i… https://t.co/5ox8Yv8ljl",False
ethicalroy,RT @ethicalroy: @Flipkart @flipkartsupport #Flipkart #India Help,False
ethicalroy,@Flipkart @flipkartsupport #Flipkart #India Help,False
AedinInsight,FREE AMAZON PRIME https://t.co/CDfFy9GXaz #amazon #amazonprime #amazondeals #kindle #amazonfinds #love #usa… https://t.co/JyyhSNsNlA,False
